 71 2006 ctx-rh-entorhinal               cortex          6784 6784.000        0.382       0.1024
 72 2007 ctx-rh-fusiform                 cortex         34218 34218.000        0.437       0.1354
 73 2008 ctx-rh-inferiorparietal         cortex         43766 43766.000        0.408       0.1386
 74 2009 ctx-rh-inferiortemporal         cortex         39614 39614.000        0.421       0.1362
 75 2010 ctx-rh-isthmuscingulate         cortex          8326 8326.000        0.451       0.1387
 76 2011 ctx-rh-lateraloccipital         cortex         48787 48787.000        0.413       0.1412
 77 2012 ctx-rh-lateralorbitofrontal     cortex         24797 24796.998        0.427       0.1382
 78 2013 ctx-rh-lingual                  cortex         25448 25448.002        0.419       0.1204
 79 2014 ctx-rh-medialorbitofrontal      cortex         19323 19323.000        0.412       0.1395
 80 2015 ctx-rh-middletemporal           cortex         40954 40954.000        0.422       0.1411
 81 2016 ctx-rh-parahippocampal          cortex          6521 6521.000        0.399       0.1264
 82 2017 ctx-rh-paracentral              cortex         13616 13616.000        0.484       0.1340
 83 2018 ctx-rh-parsopercularis          cortex         10824 10824.000        0.428       0.1435
 84 2019 ctx-rh-parsorbitalis            cortex          8298 8298.000        0.415       0.1195
 85 2020 ctx-rh-parstriangularis         cortex         12586 12586.000        0.454       0.1459
 86 2021 ctx-rh-pericalcarine            cortex         12062 12062.000        0.443       0.1169
 87 2022 ctx-rh-postcentral              cortex         33826 33826.000        0.438       0.1332
 88 2023 ctx-rh-posteriorcingulate       cortex          8127 8127.000        0.431       0.1484
 89 2024 ctx-rh-precentral               cortex         43271 43271.000        0.482       0.1536
 90 2025 ctx-rh-precuneus                cortex         30006 30006.000        0.447       0.1311
 91 2026 ctx-rh-rostralanteriorcingulate cortex          6220 6220.000        0.400       0.1240
 92 2027 ctx-rh-rostralmiddlefrontal     cortex         52089 52089.000        0.421       0.1552
 93 2028 ctx-rh-superiorfrontal          cortex         66828 66828.000        0.492       0.1856
 94 2029 ctx-rh-superiorparietal         cortex         35448 35448.000        0.420       0.1483
 95 2030 ctx-rh-superiortemporal         cortex         43923 43923.000        0.415       0.1368
 96 2031 ctx-rh-supramarginal            cortex         32679 32679.000        0.424       0.1390
 97 2032 ctx-rh-frontalpole              cortex          4344 4344.000        0.368       0.1230
 98 2033 ctx-rh-temporalpole             cortex         11305 11305.000        0.413       0.1206
 99 2034 ctx-rh-transversetemporal       cortex          2961 2961.000        0.386       0.1066
100 2035 ctx-rh-insula                   cortex         21957 21957.000        0.425       0.1423
